"filename", "language", "XML", "Java", "comment", "blank", "total"
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\.idea\encodings.xml", "XML", 7, 0, 0, 0, 7
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\.idea\misc.xml", "XML", 14, 0, 0, 0, 14
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\pom.xml", "XML", 26, 0, 1, 6, 33
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\CambiarContrasena.java", "Java", 0, 52, 0, 15, 67
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Conexion.java", "Java", 0, 12, 0, 5, 17
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Entidad\MetaObstetra.java", "Java", 0, 55, 1, 17, 73
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Entidad\MetaPrograma.java", "Java", 0, 46, 4, 14, 64
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Entidad\Obstetra.java", "Java", 0, 44, 0, 13, 57
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Entidad\Paciente.java", "Java", 0, 43, 2, 15, 60
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Entidad\Programa.java", "Java", 0, 23, 0, 8, 31
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Entidad\RegistroPrueba.java", "Java", 0, 56, 1, 18, 75
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Entidad\SesionUsuario.java", "Java", 0, 49, 1, 15, 65
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Entidad\Usuario.java", "Java", 0, 72, 0, 21, 93
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\From\FormularioActualizarMetaPrograma.java", "Java", 0, 73, 3, 21, 97
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\From\FormularioRegistrarObstetra.java", "Java", 0, 55, 2, 19, 76
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\From\FormularioRegistrarPaciente.java", "Java", 0, 55, 7, 19, 81
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\From\FormularioRegistroAtencion.java", "Java", 0, 105, 10, 27, 142
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\From\FormularioReportesAvance.java", "Java", 0, 69, 6, 23, 98
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\Login.java", "Java", 0, 120, 0, 26, 146
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\MenuAdministrador.java", "Java", 0, 30, 0, 7, 37
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\MenuObstetra.java", "Java", 0, 24, 0, 7, 31
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\ObstetraGUI.java", "Java", 0, 95, 0, 21, 116
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\PacienteGUI.java", "Java", 0, 93, 0, 23, 116
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\Registro.java", "Java", 0, 136, 8, 27, 171
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\RegistroPruebaGUI.java", "Java", 0, 295, 13, 50, 358
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\GUI\UsuarioGUI.java", "Java", 0, 128, 0, 26, 154
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Logica_DAO\ControlSesionUsuario.java", "Java", 0, 20, 0, 8, 28
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Logica_DAO\MetaObstetraDAO.java", "Java", 0, 69, 0, 9, 78
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Logica_DAO\MetaProgramaDAO.java", "Java", 0, 89, 5, 10, 104
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Logica_DAO\ObstetraDAO.java", "Java", 0, 84, 5, 11, 100
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Logica_DAO\PacienteDAO.java", "Java", 0, 87, 0, 10, 97
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Logica_DAO\ProgramaDAO.java", "Java", 0, 70, 5, 10, 85
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Logica_DAO\RegistroPruebaDAO.java", "Java", 0, 113, 1, 15, 129
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Logica_DAO\SesionUsuarioDAO.java", "Java", 0, 77, 0, 8, 85
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Logica_DAO\UsuarioDAO.java", "Java", 0, 97, 0, 12, 109
"c:\Users\marco\Documents\Ciclo_marzo_25\Curso_integrador\Mi_Proyecto_2025_CIS\src\main\java\org\example\Main.java", "Java", 0, 9, 6, 2, 17
"Total", "-", 47, 2445, 81, 538, 3111